	price	standart_params (WxHxD)	name	link
0	32 550 руб.	1600 x 2200 x 600	Шкаф-купе Лацио-3 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-latsio-3-bms/
1	14 440 руб.	800 x 2200 x 600	Шкаф-купе Эко-1 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-eko-1-bms/
2	23 251 руб.	1600 x 2400 x 600	Шкаф-купе Скуп 3 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-skup-3-bms/
3	14 760 руб.	1200 x 2200 x 600	Шкаф-купе Лидер BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-lider-bms/
4	23 150 руб.	1200 x 2200 x 600	Шкаф-купе Премьер-1 2-х дверный BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-premer-1-2-kh-dvernyy/
5	32 030 руб.	1500 x 2400 x 600	Шкаф-купе Байкал BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-baykal/
6	17 150 руб.	1200 x 2200 x 600	Шкаф-купе Атлант BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-atlant-bms/
7	19 030 руб.	1000 x 2200 x 600	Шкаф-купе EL-04 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-el-04-bms/
8	30 030 руб.	1100 x 2200 x 600	Шкаф-купе Лондон ФФ BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-london-ff-bms/
9	24 320 руб.	1200 x 2200 x 600	Шкаф-купе Экспрессо-7 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-ekspresso-7-bms/
10	31 620 руб.	1100 x 2200 x 620	Шкаф-купе Рио 1.2 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-2-kh-dvernyy-s-polkami-bez-yashchikov/
11	32 170 руб.	1200 x 2350 x 600	Шкаф-купе Менде МДФ BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-mende-mdf-bms/
12	22 150 руб.	1400 x 2400 x 600	Шкаф купе EL-08 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-el-08-bms/
13	28 330 руб.	1600 x 2200 x 600	Шкаф-купе Экспрессо-8 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-ekspresso-8-bms/
14	47 100 руб.	1600 x 2200 x 600	Шкаф-купе Деко 2 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-deko-2-bms/
