	price	standart_params (WxHxD)	name	link
0	32 550 руб.	1600 x 2200 x 600	Шкаф-купе Лацио-3 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-latsio-3-bms/
1	23 251 руб.	1600 x 2400 x 600	Шкаф-купе Скуп 3 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-skup-3-bms/
2	32 030 руб.	1500 x 2400 x 600	Шкаф-купе Байкал BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-baykal/
3	28 330 руб.	1600 x 2200 x 600	Шкаф-купе Экспрессо-8 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-ekspresso-8-bms/
4	47 100 руб.	1600 x 2200 x 600	Шкаф-купе Деко 2 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-deko-2-bms/
5	15 468 руб.	1632 x 2406 x 640	Шкаф-купе Джулия 2 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-dzhuliya-2-bms/
6	22 580 руб.	1500 x 2200 x 600	Шкаф купе EL-09 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-el-09-bms/
7	45 800 руб.	1600 x 2200 x 600	Шкаф-купе Марвин 5 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-marvin-5-bms/
8	103 110 руб.	1600 x 2400 x 600	Шкаф-купе Marcato 2.3 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-marcato-2-3-bms/
9	37 380 руб.	1600 x 2500 x 600	Шкаф-купе со скошенной дверью Гарольд 2 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-so-skoshennoy-dveryu-garold-2-bms/
10	43 930 руб.	1530 x 2400 x 600	Шкаф-купе Ди Сопра 2205 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-di-sopra-2205-bms/
11	53 080 руб.	1600 x 2550 x 600	Шкаф-купе Стелла 3 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-stella-3-bms/
12	27 313 руб.	1700 x 2500 x 600	Шкаф-купе с антресолью 3959 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-s-antresolyu-3959-bms/
13	63 920 руб.	1500 x 2300 x 600	Гардеробная Пэкс 10 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/garderobnaya-peks-10-bms/
14	28 870 руб.	1600 x 2200 x 600	Шкаф купе АМ-1 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-am-1-bms/
15	24 220 руб.	1500 x 2200 x 600	Шкаф-купе Милан-22 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-milan-22-ramka-mdf-bms/
16	25 190 руб.	1700 x 2200 x 600	Шкаф-купе EL-07 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-el-07-bms/
17	83 800 руб.	1500 x 2300 x 600	Шкаф-купе Розали 96.15 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-rozali-96-15/
18	48 200 руб.	1600 x 2305 x 655	Шкаф-купе Изабель ИЗ-06 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-izabel-iz-06-bms/
19	27 168 руб.	1700 x 2500 x 600	Шкаф купе с антресолью Лайт 13 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-s-antresolyu-layt-13-bms/
20	31 220 руб.	1600 x 2200 x 600	Шкаф-купе Валерия П BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-valeriya-p-bms/
21	58 727 руб.	1500 x 2400 x 600	Шкаф-купе угловой Флэш BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-uglovoy-flesh-bms/
22	26 261 руб.	1600 x 2220 x 600	Шкаф-купе Соня Премиум СО-12 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-sonya-premium-so-12-bms/
23	36 464 руб.	1500 x 2200 x 600	Шкаф-купе МДФ Эл 7 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-mdf-el-7-bms/
24	37 190 руб.	1500 x 2200 x 600	Шкаф-купе К228-3 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-k228-3-bms/
25	55 880 руб.	1635 x 2200 x 680	Шкаф-купе Ассоль АС-20 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-assol-as-20-bms/
26	46 100 руб.	1600 x 2400 x 600	Шкаф-купе Миа BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-mia-bms/
